condition,seed,partition,wearable_n,wearable_mae_ml,wearable_rmse_ml,wearable_r2,wearable_accuracy_within_50ml_pct,wearable_alarm_200ml_accuracy_pct,wearable_alarm_200ml_precision,wearable_alarm_200ml_recall,wearable_alarm_200ml_f1,clinical_n,clinical_mae_ml,clinical_rmse_ml,clinical_r2,clinical_accuracy_within_50ml_pct,combined_r2,combined_mae_ml
current_rf,1,validation,48,44.91650390625,59.35223864709633,0.6662716865539551,68.75,83.33333333333333,0.9,0.5625,0.6923076923076923,18,72.30182647705078,92.7007797718687,0.4022325277328491,38.88888888888889,1.0685042142868042,117.21833038330078
current_rf,1,test,60,38.91777420043945,55.40319629909677,0.7092038989067078,70.0,86.66666666666667,0.8333333333333334,0.75,0.7894736842105262,17,61.612247467041016,81.1930870383218,0.631999671459198,52.94117647058824,1.3412035703659058,100.53002166748047
current_rf,2,validation,48,44.0615119934082,58.60620076048374,0.674608588218689,70.83333333333334,79.16666666666667,0.8,0.5,0.6153846153846154,18,72.0164794921875,92.77592397983703,0.4012629985809326,44.44444444444444,1.0758715867996216,116.0779914855957
current_rf,2,test,60,40.366573333740234,55.88868986026488,0.704085111618042,71.66666666666667,88.33333333333333,0.8421052631578947,0.8,0.8205128205128205,17,63.18741226196289,83.3868994506931,0.6118444800376892,52.94117647058824,1.3159295916557312,103.55398559570312
current_rf,3,validation,48,44.607177734375,57.195352517572395,0.6900866031646729,62.5,87.5,0.8571428571428571,0.75,0.7999999999999999,18,70.47444915771484,92.56840798161109,0.40393853187561035,50.0,1.0940251350402832,115.08162689208984
current_rf,3,test,60,41.9059944152832,55.67142549986932,0.7063813209533691,68.33333333333333,91.66666666666667,0.8947368421052632,0.85,0.8717948717948718,17,62.860572814941406,82.15457099368392,0.623232364654541,52.94117647058824,1.3296136856079102,104.76656723022461
current_rf,42,validation,48,45.60026931762695,60.77401346702902,0.650091290473938,64.58333333333334,81.25,0.8181818181818182,0.5625,0.6666666666666666,18,68.77546691894531,89.43641901862462,0.44359076023101807,50.0,1.093682050704956,114.37573623657227
current_rf,42,test,60,41.34697723388672,57.677879581072936,0.6848353147506714,66.66666666666666,88.33333333333333,0.8421052631578947,0.8,0.8205128205128205,17,57.59624099731445,76.83863469147535,0.6704134941101074,47.05882352941176,1.3552488088607788,98.94321823120117
common_envelope,1,validation,48,61.75123977661133,83.18951032976604,0.3443741798400879,54.166666666666664,79.16666666666667,0.875,0.4375,0.5833333333333334,18,87.25505828857422,107.00912636312849,0.20346081256866455,38.88888888888889,0.5478349924087524,149.00629806518555
common_envelope,2,validation,48,61.39146041870117,84.28696796510123,0.3269616961479187,56.25,79.16666666666667,0.875,0.4375,0.5833333333333334,18,87.56004333496094,110.29697571358201,0.153761625289917,44.44444444444444,0.4807233214378357,148.9515037536621
common_envelope,3,validation,48,63.24980163574219,84.50732679034404,0.3234379291534424,50.0,79.16666666666667,0.875,0.4375,0.5833333333333334,18,87.15139770507812,107.85759020868674,0.190779447555542,38.88888888888889,0.5142173767089844,150.4011993408203
common_envelope,42,validation,48,64.41155242919922,85.11796444402175,0.31362515687942505,47.91666666666667,81.25,0.8888888888888888,0.5,0.64,18,86.46963500976562,103.97406151896732,0.2480040192604065,33.33333333333333,0.5616291761398315,150.88118743896484
common_envelope,1,test,60,57.47090148925781,73.45935180211912,0.4887737035751343,51.66666666666667,86.66666666666667,1.0,0.6,0.7499999999999999,17,80.93822479248047,111.47310406410821,0.3063341975212097,47.05882352941176,0.795107901096344,138.40912628173828
common_envelope,2,test,60,57.292396545410156,75.35629885645758,0.46202993392944336,55.00000000000001,85.0,1.0,0.55,0.7096774193548387,17,79.00013732910156,108.12982286931761,0.3473188281059265,47.05882352941176,0.8093487620353699,136.29253387451172
common_envelope,3,test,60,59.5698356628418,77.81754501717462,0.4263142943382263,53.333333333333336,83.33333333333333,1.0,0.5,0.6666666666666666,17,74.24239349365234,106.76653395815329,0.3636729121208191,52.94117647058824,0.7899872064590454,133.81222915649414
common_envelope,42,test,60,60.117618560791016,76.49258925502195,0.44568365812301636,50.0,86.66666666666667,1.0,0.6,0.7499999999999999,17,70.66571807861328,102.80613582126313,0.41000521183013916,52.94117647058824,0.8556888699531555,130.7833366394043
