metric,mean,sample_sd,n_seeds
wearable_test_mae_ml,40.6343297958374,1.3093578464773343,4
wearable_test_rmse_ml,56.16029739379883,1.0310231576984528,4
wearable_test_r2,0.7011264634436128,0.011060651261029921,4
wearable_test_within_50_ml_percent,69.16666666666666,2.151657414559682,4
clinical_retention_test_mae_ml,60.67601490020752,2.5501537143573287,4
clinical_retention_test_rmse_ml,80.22017288208008,2.809261214016326,4
clinical_retention_test_r2,0.6404357226296606,0.024848989129050654,4
clinical_retention_within_50_ml_percent,51.470588235294116,2.941176470588239,4
source_wearable_r2,-1.9501776237073907,0.0,4
source_clinical_r2,0.7489478029449512,0.0,4
trainable_parameters,1908161.0,0.0,4
total_parameters,6502401.0,0.0,4
